,Year,Player,PF,PTS
16795,2004,Tyronn Lue,185,799
15493,2001,Corliss Williamson,185,801
14797,2000,Tracy Murray,185,813
17512,2005,Luke Ridnour,185,824
15137,2001,Chris Gatling,185,842
8836,1988,Roy Hinson,185,843
13889,1998,Tim Thomas,185,845
10484,1992,Benoit Benjamin,185,879
21925,2013,Ersan Ilyasova,185,962
16244,2003,Andrei Kirilenko,185,963
9831,1990,Larry Nance,185,1011
4851,1977,Scott May,185,1050
352,1951,Bob Cousy*,185,1078
13308,1997,Malik Sealy,185,1079
11042,1993,Kevin Gamble,185,1093
311,1950,Max Zaslofsky,185,1115
2352,1967,Dick Barnett,185,1139
6670,1982,Kyle Macy,185,1163
18515,2007,Stephon Marbury,185,1210
7772,1985,Larry Nance,185,1211
10151,1991,Armen Gilliam,185,1242
16301,2003,Cuttino Mobley,185,1280
5155,1978,John Havlicek*,185,1322
18077,2006,Zach Randolph,185,1333
10193,1991,Jeff Hornacek,185,1350
16676,2004,Pau Gasol,185,1381
23938,2016,Chris Paul,185,1446
22790,2014,Isaiah Thomas,185,1465
4083,1974,Jo Jo,185,1488
18889,2008,Tim Duncan,185,1508
15260,2001,Jamal Mashburn,185,1528
5209,1978,Bob Lanier*,185,1542
9128,1989,Thurl Bailey,185,1595
3838,1973,Jo Jo,185,1612
19164,2008,Chris Paul,185,1684
3613,1973,Austin Carr,185,1685
7917,1985,Orlando Woolridge,185,1767
3385,1972,Walt Frazier*,185,1788
8325,1987,Larry Bird*,185,2076
20342,2010,Zaza Pachulia,186,333
7160,1983,LaSalle Thompson,186,383
7136,1983,Larry Smith,186,413
16671,2004,Dan Gadzuric,186,424
17254,2005,Jeff Foster,186,426
5899,1980,Major Jones,186,438
5704,1979,Wilson Washington,186,502
4467,1976,Bob Gross,186,515
4396,1976,Leon Benbow,186,543
1720,1962,Larry Foust,186,553
19819,2009,Bobby Simmons,186,556
3244,1971,Luther Rackley,186,559
18229,2007,LaMarcus Aldridge,186,565
9176,1989,Michael Cooper,186,587
3238,1971,Charlie Paulk,186,627
6369,1981,Wayne Robinson,186,643
6532,1982,James Donaldson,186,661
5336,1978,Dave Twardzik,186,667
20271,2010,Kenyon Martin,186,667
11442,1994,Doug Christie,186,672
1157,1957,Richie Guerin*,186,695
21218,2012,Tyson Chandler,186,699
1192,1957,Willie Naulls,186,718
4453,1976,Don Ford,186,726
3531,1972,Dave Stallworth,186,729
2783,1969,McCoy McLemore,186,733
16092,2003,Doug Christie,186,748
2993,1970,Erwin Mueller,186,759
10519,1992,Willie Burton,186,762
6062,1980,Jo Jo,186,770
19224,2008,Joe Smith,186,778
11560,1994,Robert Horry,186,803
4275,1975,Louie Nelson,186,806
13155,1997,Jamal Mashburn,186,822
16598,2004,Doug Christie,186,831
1492,1960,Dick Garmaker,186,849
6000,1980,Kevin Restani,186,874
6684,1982,Billy McKinney,186,875
2837,1969,Al Tucker,186,880
13358,1997,Gary Trent,186,882
10150,1991,Kendall Gill,186,906
19200,2008,Nate Robinson,186,913
13730,1998,Chris Mullin*,186,927
5262,1978,Sonny Parker,186,934
11835,1994,Orlando Woolridge,186,937
15653,2002,Marcus Fizer,186,938
3649,1973,Leroy Ellis,186,945
11784,1994,Sedale Threatt,186,965
15180,2001,Juwan Howard,186,981
11989,1995,Kendall Gill,186,1002
20581,2011,Carlos Boozer,186,1033
12149,1995,Sam Perkins,186,1043
18369,2007,T.J. Ford,186,1047
22890,2015,Trevor Ariza,186,1048
6017,1980,Purvis Short,186,1056
18549,2007,Cuttino Mobley,186,1077
12257,1995,Chris Webber,186,1085
14941,2000,David Wesley,186,1116
22839,2014,David West,186,1118
1754,1962,Slick Leonard*,186,1125
4621,1976,Jimmy Walker,186,1149
11811,1994,Gerald Wilkins,186,1170
13639,1998,Jim Jackson,186,1242
24467,2017,Paul Millsap,186,1246
9367,1989,Larry Nance,186,1259
11557,1994,Jeff Hornacek,186,1274
9114,1989,Danny Ainge,186,1281
5140,1978,Gail Goodrich*,186,1304
9186,1989,Adrian Dantley*,186,1400
5689,1979,Rudy Tomjanovich,186,1408
8297,1986,Orlando Woolridge,186,1448
6900,1983,Walter Davis,186,1521
3995,1974,Jim McMillian,186,1525
2781,1969,Jon McGlocklin,186,1570
4421,1976,Phil Chenier,186,1590
8698,1988,Thurl Bailey,186,1604
3657,1973,Walt Frazier*,186,1648
15784,2002,Stephon Marbury,186,1674
11723,1994,Glen Rice,186,1708
13062,1997,Grant Hill,186,1710
8025,1986,World B.,186,1754
4410,1976,Fred Brown,186,1757
17397,2005,Stephon Marbury,186,1781
5544,1979,Marques Johnson,186,1972
3568,1972,Sidney Wicks,186,2009
3179,1971,Lou Hudson,186,2039
9291,1989,Charles Jones,187,136
7526,1984,Marvin Webster,187,290
7245,1984,Quinn Buckner,187,324
22261,2014,Alexis Ajinca,187,328
22384,2014,Nick Collison,187,338
9859,1990,Olden Polynice,187,360
7830,1985,Lonnie Shelton,187,367
16897,2004,Sasha Pavlovic,187,382
16045,2003,Mark Blount,187,401
8179,1986,Ben Poquette,187,406
5542,1979,George Johnson,187,414
3181,1971,Greg Hyder,187,417
6421,1981,Marvin Webster,187,423
12679,1996,J.R. Reid,187,427
18293,2007,P.J. Brown,187,436
859,1954,Jack Nichols,187,439
13576,1998,Greg Foster,187,441
11419,1994,Mark Bryant,187,442
17049,2004,Aaron Williams,187,450
4187,1975,Chris Ford,187,475
11099,1993,Buck Johnson,187,478
3046,1970,Bill Turner,187,494
1792,1962,Bob Sims,187,509
12801,1996,Buck Williams,187,511
9588,1990,Mike Brown,187,512
6779,1982,Darnell Valentine,187,526
2958,1970,Toby Kimball,187,543
3918,1974,Bernie Fryer,187,559
8823,1988,Gerald Henderson,187,595
7682,1985,Lionel Hollins,187,609
14952,2000,Monty Williams,187,651
19695,2009,C.J. Miles,187,657
16526,2004,Shane Battier,187,669
15720,2002,Zydrunas Ilgauskas,187,690
5957,1980,George McGinnis,187,703
18834,2008,Matt Carroll,187,720
1298,1958,Slater Martin*,187,722
13227,1997,Billy Owens,187,724
24394,2017,Michael Kidd-Gilchrist,187,743
11896,1995,Scott Burrell,187,750
24029,2016,Hollis Thompson,187,758
2296,1966,Don Nelson*,187,765
15792,2002,Anthony Mason,187,787
1711,1962,Ralph Davis,187,799
19202,2008,Rajon Rondo,187,814
19518,2009,Derek Fisher,187,814
9273,1989,Jay Humphries,187,844
24555,2017,Austin Rivers,187,889
49,1950,Bob Davies*,187,895
16922,2004,Vladimir Radmanovic,187,925
882,1954,Paul Seymour,187,931
22117,2013,Luke Ridnour,187,939
11374,1994,Willie Anderson,187,955
6809,1982,Brian Winters,187,967
3022,1970,Larry Siegfried,187,984
18178,2006,Antoine Walker,187,1000
7811,1985,Cliff Robinson,187,1003
13373,1997,Clarence Weatherspoon,187,1003
13441,1998,Charles Barkley*,187,1036
2065,1964,Rod Thorn,187,1080
12755,1996,Bryant Stith,187,1119
18868,2008,Ricky Davis,187,1130
9639,1990,Sherman Douglas,187,1155
5616,1979,Sonny Parker,187,1199
7914,1985,Al Wood,187,1203
9195,1989,Walter Davis,187,1267
23302,2015,Victor Oladipo,187,1292
2013,1964,Red Kerr,187,1340
9401,1989,Terry Porter,187,1431
23780,2016,Reggie Jackson,187,1489
21686,2013,LaMarcus Aldridge,187,1560
17179,2005,Vince Carter,187,1569
15734,2002,Antawn Jamison,187,1619
19002,2008,Andre Iguodala,187,1630
17930,2006,Joe Johnson,187,1653
23869,2016,C.J. McCollum,187,1666
3288,1971,Chet Walker*,187,1780
14475,2000,Ray Allen,187,1809
11104,1993,Larry Johnson,187,1810
10219,1991,Bernard King*,187,1817
20006,2010,Kobe Bryant,187,1970
4108,1975,Tiny Archibald*,187,2170
7516,1984,Kiki Vandeweghe,187,2295
4520,1976,Clyde Lee,188,309
448,1951,Ed Peterson,188,359
13369,1997,Charlie Ward,188,409
22929,2015,Andrew Bogut,188,422
19257,2008,Kurt Thomas,188,443
8891,1988,Maurice Lucas,188,445
18809,2008,Corey Brewer,188,459
5630,1979,Micheal Ray,188,469
5237,1978,Joe Meriweather,188,475
7353,1984,Steve Johnson,188,479
528,1952,Bill Gabor,188,488
11333,1993,John Williams,188,492
16283,2003,Walter McCarty,188,498
11922,1995,Terry Cummings,188,520
612,1952,Ernie Vandeweghe,188,524
829,1954,Bob Houbregs*,188,544
1506,1960,Tom Hawkins,188,546
22204,2013,Jonas Valanciunas,188,554
17296,2005,Othella Harrington,188,561
8367,1987,Earl Cureton,188,568
1240,1958,Al Bianchi,188,570
13644,1998,Anthony Johnson,188,574
2898,1970,Barry Clemens,188,651
5347,1978,Kermit Washington,188,664
12772,1996,Wayman Tisdale,188,672
21772,2013,Tyson Chandler,188,689
21721,2013,Brandon Bass,188,701
7976,1986,Steve Colter,188,706
1478,1960,Archie Dees,188,707
23024,2015,Gorgui Dieng,188,710
6795,1982,Bob Wilkerson,188,716
16988,2004,Stromile Swift,188,727
12661,1996,Ricky Pierce,188,737
18254,2007,Matt Barnes,188,746
20525,2011,Gilbert Arenas,188,755
5666,1979,Bingo Smith,188,805
22367,2014,DeMarre Carroll,188,810
20745,2011,Marcin Gortat,188,817
6029,1980,Bingo Smith,188,819
7209,1983,Al Wood,188,825
8796,1988,Winston Garland,188,831
23271,2015,Marcus Morris,188,845
1359,1959,Ed Conlin,188,855
5159,1978,Spencer Haywood*,188,920
9529,1989,Hot Rod,188,948
18911,2008,Derek Fisher,188,956
22798,2014,Tristan Thompson,188,961
12314,1996,Stacey Augmon,188,976
8323,1987,Walter Berry,188,988
6330,1981,Calvin Natt,188,994
8348,1987,Bill Cartwright,188,1016
23648,2016,Goran Dragic,188,1018
18,1950,Carl Braun,188,1031
8833,1988,Rod Higgins,188,1054
9270,1989,Jeff Hornacek,188,1054
10827,1992,Scott Skiles,188,1057
18500,2007,Kyle Korver,188,1067
4155,1975,Archie Clark,188,1071
2693,1969,Archie Clark,188,1107
16976,2004,Amar'e Stoudemire,188,1133
19319,2008,Mo Williams,188,1137
9980,1990,Gerald Wilkins,188,1191
13065,1997,Jeff Hornacek,188,1191
18298,2007,Caron Butler,188,1203
6605,1982,Eddie Johnson,188,1211
3587,1973,Lucius Allen,188,1237
14977,2001,Derek Anderson,188,1269
11315,1993,Clarence Weatherspoon,188,1280
4858,1977,Bob McAdoo*,188,1387
698,1953,Ed Macauley*,188,1402
1220,1957,Bill Sharman*,188,1413
6240,1981,Eddie Johnson,188,1431
1834,1963,Terry Dischinger,188,1452
13793,1998,Isaiah Rider,188,1458
15953,2002,Wally Szczerbiak,188,1531
7403,1984,Moses Malone*,188,1609
5028,1978,Rick Barry*,188,1898
14887,2000,Jerry Stackhouse,188,1939
11106,1993,Michael Jordan*,188,2541
2887,1970,Nate Bowman,189,237
8329,1987,Manute Bol,189,251
17552,2005,Eric Snow,189,322
15324,2001,Rasho Nesterovic,189,328
21523,2012,Kendrick Perkins,189,329
9764,1990,Jerome Lane,189,334
4772,1977,Leonard Gray,189,347
5434,1979,Corky Calhoun,189,378
6955,1983,Steve Hawes,189,400
14676,2000,Robert Horry,189,436
16925,2004,Theo Ratliff,189,438
7041,1983,Rudy Macklin,189,441
3174,1971,Bill Hewitt,189,475
10216,1991,Alec Kessler,189,486
21427,2012,DeAndre Jordan,189,486
2256,1966,Dave Gambee,189,495
16664,2004,Jeff Foster,189,497
3157,1971,Matt Guokas,189,513
3159,1971,Matt Guokas,189,513
6078,1980,Bill Willoughby,189,535
1031,1956,Nat Clifton*,189,561
10145,1991,Winston Garland,189,564
10908,1993,Alaa Abdelnaby,189,578
23710,2016,JaMychal Green,189,578
16113,2003,Dale Davis,189,579
17921,2006,Marko Jaric,189,587
6790,1982,Scott Wedman,189,591
16677,2004,Devean George,189,604
11466,1994,Antonio Davis,189,626
24686,2017,Cody Zeller,189,639
22632,2014,Josh McRoberts,189,661
5136,1978,John Gianelli,189,693
23447,2015,Tristan Thompson,189,693
8995,1988,Detlef Schrempf,189,698
7616,1985,Dave Corzine,189,701
8004,1986,James Donaldson,189,716
20305,2010,Brad Miller,189,719
2429,1967,McCoy McLemore,189,726
1388,1959,Hal Greer*,189,753
3127,1971,Terry Dischinger,189,769
11713,1994,Olden Polynice,189,789
23418,2015,Marreese Speights,189,791
17418,2005,Darius Miles,189,809
10426,1991,Reggie Williams,189,820
10373,1991,Rory Sparrow,189,831
23216,2015,Jeremy Lin,189,832
12448,1996,Kevin Garnett,189,835
8445,1987,Craig Hodges,189,846
2357,1967,Zelmo Beaty*,189,853
10888,1992,Herb Williams,189,859
7875,1985,Darnell Valentine,189,872
4010,1974,Don Nelson*,189,943
22991,2015,Robert Covington,189,943
22939,2015,Aaron Brooks,189,954
3326,1972,Jim Barnett,189,992
2496,1968,John Block,189,1048
8307,1987,Danny Ainge,189,1053
11755,1994,Lionel Simmons,189,1129
1860,1963,John Havlicek*,189,1140
3507,1972,Bob Rule,189,1148
23184,2015,Enes Kanter,189,1163
19283,2008,Gerald Wallace,189,1200
9845,1990,Robert Parish*,189,1243
20023,2010,Vince Carter,189,1244
11670,1994,Eric Murdock,189,1257
3216,1971,Jon McGlocklin,189,1292
1913,1963,Bill Russell*,189,1309
5242,1978,Earl Monroe*,189,1354
18333,2007,Ricky Davis,189,1374
22926,2015,Eric Bledsoe,189,1377
1810,1963,Dick Barnett,189,1437
5584,1979,Bob McAdoo*,189,1487
15818,2002,Cuttino Mobley,189,1606
20073,2010,Monta Ellis,189,1631
11075,1993,Hersey Hawkins,189,1643
17920,2006,Antawn Jamison,189,1684
19409,2009,Chris Bosh,189,1746
3881,1974,Austin Carr,189,1775
22230,2013,Russell Westbrook,189,1903
19428,2009,Kobe Bryant,189,2201
15382,2001,Don Reid,190,210
17715,2006,Andris Biedrins,190,258
6703,1982,Kurt Nimphius,190,337
11613,1994,Eric Leckner,190,362
7669,1985,Dave Greenwood,190,371
445,1951,Don Otten,190,411
948,1955,Don Henriksen,190,415
9505,1989,Kenny Walker,190,419
10966,1993,Mike Brown,190,465
18379,2007,Francisco Garcia,190,474
94,1950,Bob Harris,190,476
253,1950,Milt Schoon,190,496
4229,1975,Jimmy Jones,190,517
6929,1983,Phil Ford,190,524
402,1951,Bob Lavoy,190,526
11649,1994,Anthony Mason,190,528
544,1952,Noble Jorgensen,190,529
23600,2016,Clint Capela,190,542
2401,1967,Wayne Hightower,190,543
15674,2002,Devean George,190,581
1632,1961,K.C. Jones*,190,592
11077,1993,Carl Herrera,190,605
4009,1974,Lloyd Neal,190,609
20300,2010,C.J. Miles,190,622
23650,2016,Jared Dudley,190,638
12241,1995,Wayman Tisdale,190,650
19403,2009,Matt Bonner,190,667
1848,1963,Dave Gambee,190,669
6961,1983,Gerald Henderson,190,671
8176,1986,Ed Pinckney,190,681
3651,1973,Keith Erickson,190,687
6112,1981,Allan Bristow,190,713
3672,1973,Matt Guokas,190,718
2382,1967,Johnny Egan,190,719
37,1950,Bill Closs,190,752
19586,2009,Al Horford,190,773
14955,2000,Walt Williams,190,827
18262,2007,Shane Battier,190,829
17852,2006,Drew Gooden,190,845
11698,1994,Robert Parish*,190,866
14898,2000,Erick Strickland,190,867
3926,1974,Herm Gilliam,190,874
21983,2013,Carl Landry,190,874
21846,2013,Randy Foye,190,882
10333,1991,Fred Roberts,190,888
1175,1957,Red Kerr,190,891
5715,1979,Bob Wilkerson,190,911
22300,2014,Brandon Bass,190,911
8606,1987,Terry Teagle,190,922
20668,2011,Boris Diaw,190,924
18683,2007,Jamaal Tinsley,190,925
14824,2000,Ruben Patterson,190,942
18967,2008,Devin Harris,190,946
17448,2005,Lee Nailon,190,963
22701,2014,Paul Pierce,190,1010
4299,1975,Curtis Rowe,190,1015
10367,1991,Otis Smith,190,1044
17440,2005,Troy Murphy,190,1076
22209,2013,Greivis Vasquez,190,1083
17023,2004,Rasheed Wallace,190,1088
22352,2014,Alec Burks,190,1089
1265,1958,Dick Garmaker,190,1094
6184,1981,Phil Ford,190,1153
8790,1988,Sleepy Floyd,190,1155
2049,1964,Bill Russell*,190,1168
17272,2005,Manu Ginobili,190,1186
19832,2009,J.R. Smith,190,1233
8857,1988,Eddie Johnson,190,1294
22045,2013,Greg Monroe,190,1298
10125,1991,Sean Elliott,190,1301
21096,2011,Deron Williams,190,1309
23483,2015,Andrew Wiggins,190,1387
512,1952,Bob Cousy*,190,1433
6031,1980,Randy Smith,190,1441
3083,1971,Jim Barnett,190,1444
15178,2001,Allan Houston,190,1459
17521,2005,Jalen Rose,190,1495
17789,2006,Ricky Davis,190,1516
10552,1992,Brad Daugherty,190,1566
7511,1984,Kelly Tripucka,190,1618
10003,1990,James Worthy*,190,1685
4824,1977,Larry Kenon,190,1705
14671,2000,Grant Hill,190,1906
12098,1995,Jamal Mashburn,190,1926
5879,1980,Dan Issel*,190,1951
13263,1997,Glen Rice,190,2115
24654,2017,Russell Westbrook,190,2558
5785,1980,Harvey Catchings,191,233
16633,2004,Boris Diaw,191,342
17830,2006,Jeff Foster,191,372
3887,1974,Bob Christian,191,386
10554,1992,Dale Davis,191,395
4920,1977,Fred Saunders,191,403
20171,2010,Juwan Howard,191,437
2995,1970,Dorie Murrey,191,442
12298,1996,Derrick Alston,191,452
19470,2009,Erick Dampier,191,454
1084,1956,Monk Meineke,191,489
1117,1956,Odie Spears,191,491
13137,1997,Luc Longley,191,537
23066,2015,Channing Frye,191,549
16828,2004,Stanislav Medvedenko,191,563
4889,1977,Willie Norwood,191,583
19686,2009,Antonio McDyess,191,596
19547,2009,Joey Graham,191,597
9942,1990,Tom Tolbert,191,616
17730,2006,Bruce Bowen,191,619
21802,2013,Ed Davis,191,623
2854,1969,Walt Wesley,191,624
11856,1995,Vincent Askew,191,703
8437,1987,Gerald Henderson,191,738
2782,1969,Stan McKenzie,191,747
15286,2001,Darius Miles,191,761
12971,1997,Sherman Douglas,191,764
941,1955,Jack George,191,774
11288,1993,Larry Stewart,191,796
21313,2012,Paul George,191,798
18730,2007,Marvin Williams,191,839
13587,1998,Matt Geiger,191,885
8381,1987,James Donaldson,191,889
3710,1973,Manny Leaks,191,898
10889,1992,Hot Rod,191,952
15989,2002,Alvin Williams,191,971
3348,1972,Phil Chenier,191,996
8020,1986,Patrick Ewing*,191,998
23089,2015,Marcin Gortat,191,1001
10391,1991,Sedale Threatt,191,1013
6568,1982,Ernie Grunfeld,191,1030
18008,2006,Troy Murphy,191,1035
3615,1973,Wilt Chamberlain*,191,1084
11774,1994,John Starks,191,1120
22249,2013,Thaddeus Young,191,1127
15236,2001,Rashard Lewis,191,1151
19514,2009,Raymond Felton,191,1162
11048,1993,Kendall Gill,191,1167
16811,2004,Desmond Mason,191,1183
1557,1960,Kenny Sears,191,1187
12429,1996,Dale Ellis,191,1204
20095,2010,Danilo Gallinari,191,1221
14680,2000,Larry Hughes,191,1226
19893,2009,Russell Westbrook,191,1256
20219,2010,Brandon Jennings,191,1270
14854,2000,Mitch Richmond*,191,1285
3776,1973,Curtis Rowe,191,1304
17395,2005,Corey Maggette,191,1464
15592,2002,Vince Carter,191,1484
17961,2006,Rashard Lewis,191,1568
17126,2005,Mike Bibby,191,1571
2413,1967,Sam Jones*,191,1594
10095,1991,Brad Daugherty,191,1645
15392,2001,Glenn Robinson,191,1674
7722,1985,Bernard King*,191,1809
16202,2003,Allan Houston,191,1845
3352,1972,Archie Clark,191,1909
4849,1977,Pete Maravich*,191,2273
5338,1978,Jan Van,192,301
10230,1991,Eric Leckner,192,324
8386,1987,Kevin Duckworth,192,352
201,1950,John Oldham,192,357
8044,1986,Ernie Grunfeld,192,412
22332,2014,Elton Brand,192,419
6573,1982,James Hardy,192,422
11254,1993,John Salley,192,423
2,1950,Leo Barnhorst,192,438
10980,1993,Duane Causwell,192,453
21913,2013,Kirk Hinrich,192,459
10228,1991,Jerome Lane,192,463
7124,1983,Russ Schoene,192,476
16378,2003,Rodney Rogers,192,478
9307,1989,Joe Kleine,192,484
22318,2014,DeJuan Blair,192,497
3873,1974,Jim Brewer,192,500
11612,1994,Andrew Lang,192,504
15471,2001,Ben Wallace,192,511
1979,1964,Leroy Ellis,192,512
15884,2002,Zeljko Rebraca,192,513
21746,2013,Elton Brand,192,518
11307,1993,Jeff Turner,192,528
19763,2009,Leon Powe,192,538
1048,1956,Al Ferrari,192,546
20711,2011,Derek Fisher,192,558
3189,1971,Nick Jones,192,561
11305,1993,Tom Tolbert,192,583
18479,2007,Dahntay Jones,192,583
10160,1991,Gary Grant,192,590
6149,1981,Pat Cummings,192,595
538,1952,Mel Hutchins,192,607
17071,2004,Lorenzen Wright,192,610
14646,2000,Horace Grant,192,612
3011,1970,Mike Riordan,192,624
5491,1979,Mike Gale,192,659
17375,2005,Brevin Knight,192,666
21964,2013,DeAndre Jordan,192,724
19061,2008,Kyle Korver,192,740
7503,1984,Paul Thompson,192,742
23917,2016,Nerlens Noel,192,747
6966,1983,Craig Hodges,192,750
9603,1990,Joe Barry,192,761
23383,2015,Luis Scola,192,763
10315,1991,Olden Polynice,192,778
19260,2008,Tim Thomas,192,780
14956,2000,Corliss Williamson,192,785
2991,1970,Erwin Mueller,192,789
19870,2009,Beno Udrih,192,800
4356,1975,Paul Westphal,192,803
12640,1996,Billy Owens,192,808
23625,2016,Allen Crabbe,192,832
24588,2017,Marcus Smart,192,835
18383,2007,Rudy Gay,192,846
2203,1965,Chico Vaughn,192,870
7874,1985,Terry Tyler,192,950
19666,2009,Corey Maggette,192,950
14895,2000,John Stockton*,192,990
4749,1977,Chris Ford,192,1005
10760,1992,Sam Perkins,192,1041
8557,1987,Terry Porter,192,1045
12659,1996,Bobby Phills,192,1051
19,1950,Frankie Brian,192,1138
8979,1988,Cliff Robinson,192,1178
10289,1991,Ken Norman,192,1219
7621,1985,Quintin Dailey,192,1262
22330,2014,Chris Bosh,192,1281
10359,1991,Scott Skiles,192,1357
16991,2004,Jason Terry,192,1359
6159,1981,Walter Davis,192,1402
8139,1986,Kevin McHale*,192,1448
2011,1964,Sam Jones*,192,1473
1791,1962,Gene Shue,192,1522
24426,2017,Brook Lopez,192,1539
5906,1980,Larry Kenon,192,1565
3274,1971,Nate Thurmond*,192,1641
5553,1979,Larry Kenon,192,1791
14974,2001,Ray Allen,192,1806
17526,2005,Michael Ruffin,193,111
